crop,p,c1,c2,land_area_ha,yield_kg_per_ha,production_kg,nuse_kg,nfert_kg_per_ha
maize,30,0,50,104142.28,1013.92,105591958.48,6806027.65,65.35
groundnuts,-30,-20,20,1238883.08,151.37,187526195.44,12959087.17,10.46
groundnuts,20,10,-40,224993.22,801.14,180250640.61,14111422.9,62.72
groundnuts,-30,0,10,180427.2,780.18,140765567.82,5245308.42,29.07
sesame,30,50,0,126367.49,1185.87,149855024.86,12476132.44,98.73
sesame,-20,20,0,391656.8,465.87,182463008.76,15317427.14,39.11
sorghum,20,50,-40,183918.51,3519.28,647260844.2,43400272.09,235.98
maize,0,0,20,83648.71,1205.61,100847806.72,6746208.36,80.65
groundnuts,-10,-50,30,1235503.38,134.95,166733836.73,8493867.61,6.87
sesame,-10,10,20,230270.1,681.6,156952392.65,10201383.96,44.3
maize,0,0,-50,127274.2,970.47,123515187.88,19101432.18,150.08
groundnuts,40,-40,10,1238883.08,151.37,187526195.44,12959087.17,10.46
sorghum,10,-30,20,1215636.94,637.78,775314411.12,35914892.04,29.54
sesame,-40,-30,-20,1286764.47,177.08,227861004.38,25105003.81,19.51
groundnuts,-50,30,-40,183685.91,866.16,159101768.44,8625773.48,46.96
cassava,50,-40,-40,1199810.8,125.2,150219216.46,4048676.91,3.37
sesame,10,40,10,114817.43,1230.36,141267196.37,9681102.94,84.32
maize,-30,-10,-40,105377.15,1094.5,115335186.48,14828449.14,140.72
cassava,-10,-10,30,585547.32,206.91,121154552.22,1878465.78,3.21
